"sp tốt,lành tính nhất trog các loại srm. nhưng hợp với rửa lúc sáng ngủ dậy hoặc k trag điểm thôi.chứ bạn nào trang điểm thì phải rửa 2 3 lần mới sạch hết lớp trag điểm đc"
""
"Da khô bôi lên mặt cảm giác nhờn rít khó chịu, không thấy hiệu quả"
"hiệu quả tốt, dễ tán đều kem. nhưng hơi khó chịu khi nhấn mấy lần mới ra kem"
"sợ tốt thích hợp cho da dầu có mụn luôn ạk, e mua đến chai thứ 3 luôn rồi ák."
"Dùng sp này bị ghiền luôn, hạt siêu mịn, mùi thơm dễ chịu, da sạch hơn sau khi dùng."
"Mua nhiều lần ở đây rồi ạ. Sản phẩm ok, giá rẻ ship nhanh nữa chớ ❤️❤️❤️"
"Sản phẩm có một số hạn chế, không thực sự ưng ý."
"dùng kem này từ 2 năm trước, kem sáng da trắng da ok, rất ưng ý"
Chất đặt dùng rất hợp cho da khô e này thiên về ẩm thì nhiều còn về mặt trị mụn thì k đâu.
